id,concept:name,time:timestamp
1,Client in case,2019-09-18 13:06:02.373692
1,Cred story in check,2019-09-19 13:06:02.373692
1,Client accepted by story,2019-09-20 13:06:02.373692
1,Underraiter check,2019-09-21 13:06:02.373692
1,Client rejected by underwriter,2019-09-21 13:06:02.373692
1,Client rejected,2019-09-22 13:06:02.373692
1,Answer done,2019-09-23 13:06:02.373692
2,Client in case,2019-09-18 13:06:02.402465
2,Cred story in check,2019-09-19 13:06:02.402465
2,Client accepted by story,2019-09-20 13:06:02.402465
2,Something wrong on stage UNDER_CHECK,2019-09-21 13:06:02.402465
2,Underraiter check,2019-09-21 13:06:02.402465
2,Client accepted by underwriter,2019-09-21 13:06:02.402465
2,Client accepted,2019-09-22 13:06:02.402465
2,Answer done,2019-09-23 13:06:02.402465
3,Client in case,2019-09-18 13:06:02.426338
3,Cred story in check,2019-09-19 13:06:02.426338
3,Client accepted by story,2019-09-20 13:06:02.426338
3,Underraiter check,2019-09-21 13:06:02.426338
3,Client accepted by underwriter,2019-09-21 13:06:02.426338
3,Client accepted,2019-09-22 13:06:02.426338
3,Answer done,2019-09-23 13:06:02.426338
4,Client in case,2019-09-18 13:06:02.444034
4,Cred story in check,2019-09-19 13:06:02.444034
4,Client accepted by story,2019-09-20 13:06:02.444034
4,Underraiter check,2019-09-21 13:06:02.444034
4,Client rejected by underwriter,2019-09-21 13:06:02.444034
4,Client rejected,2019-09-22 13:06:02.444034
4,Answer done,2019-09-23 13:06:02.444034
5,Client in case,2019-09-18 13:06:02.461549
5,Cred story in check,2019-09-19 13:06:02.461549
5,Client accepted by story,2019-09-20 13:06:02.461549
5,Underraiter check,2019-09-21 13:06:02.461549
5,Client rejected by underwriter,2019-09-21 13:06:02.461549
5,Client rejected,2019-09-22 13:06:02.461549
5,Answer done,2019-09-23 13:06:02.461549
6,Client in case,2019-09-18 13:06:02.479242
6,Cred story in check,2019-09-19 13:06:02.479242
6,Client rejected by story,2019-09-20 13:06:02.479242
6,Client rejected,2019-09-22 13:06:02.479242
6,Answer done,2019-09-23 13:06:02.479242
7,Client in case,2019-09-18 13:06:02.492788
7,Cred story in check,2019-09-19 13:06:02.492788
7,Client accepted by story,2019-09-20 13:06:02.492788
7,Underraiter check,2019-09-21 13:06:02.492788
7,Client rejected by underwriter,2019-09-21 13:06:02.492788
7,Client rejected,2019-09-22 13:06:02.492788
7,Answer done,2019-09-23 13:06:02.492788
8,Client in case,2019-09-18 13:06:02.510527
8,Cred story in check,2019-09-19 13:06:02.510527
8,Client accepted by story,2019-09-20 13:06:02.510527
8,Underraiter check,2019-09-21 13:06:02.510527
8,Client accepted by underwriter,2019-09-21 13:06:02.510527
8,Client accepted,2019-09-22 13:06:02.510527
8,Answer done,2019-09-23 13:06:02.510527
9,Client in case,2019-09-18 13:06:02.528038
9,Cred story in check,2019-09-19 13:06:02.528038
9,Client accepted by story,2019-09-20 13:06:02.528038
9,Underraiter check,2019-09-21 13:06:02.528038
9,Client accepted by underwriter,2019-09-21 13:06:02.528038
9,Client accepted,2019-09-22 13:06:02.528038
9,Answer done,2019-09-23 13:06:02.528038
10,Client in case,2019-09-18 13:06:02.546633
10,Cred story in check,2019-09-19 13:06:02.546633
10,Client accepted by story,2019-09-20 13:06:02.546633
10,Underraiter check,2019-09-21 13:06:02.546633
10,Client accepted by underwriter,2019-09-21 13:06:02.546633
10,Client accepted,2019-09-22 13:06:02.546633
10,Answer done,2019-09-23 13:06:02.546633
11,Client in case,2019-09-18 13:06:02.562366
11,Cred story in check,2019-09-19 13:06:02.562366
11,Client accepted by story,2019-09-20 13:06:02.562366
11,Underraiter check,2019-09-21 13:06:02.562366
11,Client accepted by underwriter,2019-09-21 13:06:02.562366
11,Client accepted,2019-09-22 13:06:02.562366
11,Answer done,2019-09-23 13:06:02.562366
12,Client in case,2019-09-18 13:06:02.577955
12,Cred story in check,2019-09-19 13:06:02.577955
12,Client accepted by story,2019-09-20 13:06:02.577955
12,Underraiter check,2019-09-21 13:06:02.577955
12,Client accepted by underwriter,2019-09-21 13:06:02.577955
12,Client accepted,2019-09-22 13:06:02.577955
12,Answer done,2019-09-23 13:06:02.577955
13,Client in case,2019-09-18 13:06:02.593547
13,Cred story in check,2019-09-19 13:06:02.593547
13,Client accepted by story,2019-09-20 13:06:02.593547
13,Underraiter check,2019-09-21 13:06:02.593547
13,Client accepted by underwriter,2019-09-21 13:06:02.593547
13,Client accepted,2019-09-22 13:06:02.593547
13,Answer done,2019-09-23 13:06:02.593547
14,Client in case,2019-09-18 13:06:02.609229
14,Cred story in check,2019-09-19 13:06:02.609229
14,Client accepted by story,2019-09-20 13:06:02.609229
